Crop and MarinePlant SubClassOf Arthropod, \nFalse
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and FungiTaxonomy and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and MarineAnimal and MarinePlant and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf Animal and Arachnid and Bird and Diatom and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Arachnid and Bird and Diatom and Flagellate and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Amphibian and Arachnid and Bird and Diatom and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and Human and MarineAnimal and Millipede and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and Human and Leaf and MarineAnimal and Mushroom and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf Arachnid and Bird and Diatom and ExoticVegetation and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Reptile and SegmentedWorm and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and Human and LivingThing and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Arachnid and Bird and Diatom and DominantSpecies and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Arachnid and Bird and Diatom and EvergreenVegetation and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Reptile and TreeRing and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Arachnid and Bird and Diatom and Flatworm and Fungi and Human and Litter and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Arachnid and Bird and Crown and Diatom and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf Arachnid and Bird and Crown and Diatom and Flatworm and Fungi and Human and Invertebrate and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Anemone and Arachnid and Bird and Crown and Diatom and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf Anemone and Arachnid and Bird and Ciliate and Crown and Diatom and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Anemone and Arachnid and Bird and Crown and Diatom and Flatworm and FloweringPlant and Fungi and Human and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Anemone and Arachnid and Bird and Crown and Diatom and Flatworm and Fungi and Human and IndigenousVegetation and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Anemone and Arachnid and Bird and Crown and Diatom and Flatworm and Fungi and Human and MarineAnimal and MarineInvertebrate and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Anemone and Arachnid and Bird and Conifer and Crown and Diatom and Flatworm and Fungi and Human and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Anemone and Arachnid and Bird and Crown and Diatom and Flatworm and Fungi and Human and Mammal and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf Anemone and Arachnid and Bird and Crop and Crown and Diatom and Flatworm and Fungi and Human and Mammal and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf Anemone and Arachnid and Arthropod and Bird and Crop and Crown and Diatom and Flatworm and Fungi and Human and Mammal and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf Anemone and Arachnid and Arthropod and Bird and Chlorophyll and Crop and Crown and Diatom and Flatworm and Fungi and Human and Mammal and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Anemone and Arachnid and Arthropod and Bird and Crop and Crown and Diatom and Echinoderm and Flatworm and Fungi and Human and Mammal and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Anemone and Arachnid and Arthropod and Bird and Crop and Crown and Diatom and Flatworm and Fungi and Human and Mammal and MarineAnimal and Mushroom and Plant and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Fern SubClassOf Anemone and Arachnid and Arthropod and Bird and Crop and Crown and Diatom and Flatworm and Fungi and Human and Insect and Mammal and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Fern SubClassOf Anemone and Arachnid and Arthropod and Bird and Crop and Crown and DeciduousVegetation and Diatom and Flatworm and Fungi and Human and Insect and Mammal and MarineAnimal and Mushroom and Reptile and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient and Protist SubClassOf Sponge, \nTrue
Nutrient and Protist SubClassOf VegetationCover, \nTrue
Nutrient SubClassOf VegetationCover, \nTrue
Nutrient SubClassOf Microalgae, \nTrue
Nutrient SubClassOf Microalgae and VegetationCover, \nTrue
Nutrient SubClassOf Fungi, False
Nutrient SubClassOf Arachnid, \nFalse
Nutrient SubClassOf VegetationSpecies, \nTrue
Nutrient SubClassOf Microalgae and VegetationCover and VegetationSpecies, \nTrue
Nutrient SubClassOf Livestock, \nFalse
Nutrient SubClassOf Sponge, \nTrue
Nutrient SubClassOf Microalgae and Sponge and VegetationCover and VegetationSpecies, \nTrue
Nutrient SubClassOf Flatworm, \nFalse
Nutrient SubClassOf Diatom, \nTrue
Nutrient SubClassOf Diatom and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nTrue
Nutrient SubClassOf FungiTaxonomy, \nTrue
Nutrient SubClassOf Diatom and FungiTaxonomy and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf MarinePlant, \nTrue
Nutrient SubClassOf Diatom and MarinePlant and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nTrue
Nutrient SubClassOf Moss, \nTrue
Nutrient SubClassOf Diatom and MarinePlant and Microalgae and Moss and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Vertebrate, \nTrue
Nutrient SubClassOf Diatom and MarinePlant and Microalgae and Sponge and VegetationCover and VegetationSpecies and Vertebrate, \nHere
Nutrient SubClassOf Radiolarian, \nFalse
Nutrient SubClassOf Human, \nTrue
Nutrient SubClassOf Diatom and Human and MarinePlant and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf MarineMicrobiota, \nFalse
Nutrient SubClassOf Animal, \nTrue
Nutrient SubClassOf Animal and Diatom and MarinePlant and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nTrue
Nutrient SubClassOf Flagellate, \nTrue
Nutrient SubClassOf Animal and Diatom and Flagellate and MarinePlant and Microalgae and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Poultry, False
Nutrient SubClassOf MarineMammal, \nFalse
Nutrient SubClassOf Amphibian, \nFalse
Nutrient SubClassOf Millipede, \nFalse
Nutrient SubClassOf Plankton, \nTrue
Nutrient SubClassOf Animal and Diatom and MarinePlant and Microalgae and Plankton and Sponge and VegetationCover and VegetationSpecies, \nTrue
Nutrient SubClassOf Roundworm, \nFalse
Nutrient SubClassOf Microphyte, \nFalse
Nutrient SubClassOf SlimeMold, \nTrue
Nutrient SubClassOf Animal and Diatom and MarinePlant and Microalgae and Plankton and SlimeMold and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Microbiota, \nTrue
Nutrient SubClassOf Animal and Diatom and MarinePlant and Microalgae and Microbiota and Plankton and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf MicrobiotaTaxonomy, \nTrue
Nutrient SubClassOf Animal and Diatom and MarinePlant and Microalgae and MicrobiotaTaxonomy and Plankton and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Coccolithophore, \nFalse
Nutrient SubClassOf Lichen, False
Nutrient SubClassOf Leaf, \nTrue
Nutrient SubClassOf Animal and Diatom and Leaf and MarinePlant and Microalgae and Plankton and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Pollen, \nFalse
Nutrient SubClassOf Mushroom, \nTrue
Nutrient SubClassOf Animal and Diatom and MarinePlant and Microalgae and Mushroom and Plankton and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Fish, \nFalse
Nutrient SubClassOf Reptile, \nFalse
Nutrient SubClassOf MarineAnimal, \nTrue
Nutrient SubClassOf Animal and Diatom and MarineAnimal and MarinePlant and Microalgae and Plankton and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Macroalgae, \nFalse
Nutrient SubClassOf Foraminifer, \nTrue
Nutrient SubClassOf Animal and Diatom and Foraminifer and MarinePlant and Microalgae and Plankton and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Dairy, \nTrue
Nutrient SubClassOf Animal and Dairy and Diatom and MarinePlant and Microalgae and Plankton and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Liverwort, \nFalse
Nutrient SubClassOf Crustacean, False
Nutrient SubClassOf Canopy, \nTrue
Nutrient SubClassOf Animal and Canopy and Diatom and MarinePlant and Microalgae and Plankton and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Coral, \nTrue
Nutrient SubClassOf Animal and Coral and Diatom and MarinePlant and Microalgae and Plankton and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf ExoticVegetation, \nTrue
Nutrient SubClassOf Animal and Diatom and ExoticVegetation and MarinePlant and Microalgae and Plankton and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Macrophyte, \nTrue
Nutrient SubClassOf Animal and Diatom and Macrophyte and MarinePlant and Microalgae and Plankton and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf SegmentedWorm, \nTrue
Nutrient SubClassOf Animal and Diatom and MarinePlant and Microalgae and Plankton and SegmentedWorm and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf LivingThing, \nTrue
Nutrient SubClassOf Animal and Diatom and LivingThing and MarinePlant and Microalgae and Plankton and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Bird, \nFalse
Nutrient SubClassOf Fern, \nTrue
Nutrient SubClassOf Animal and Diatom and Fern and MarinePlant and Microalgae and Plankton and Sponge and VegetationCover and VegetationSpecies, \nTrue
Nutrient SubClassOf DominantSpecies, \nFalse
Nutrient SubClassOf BlueGreenAlgae, \nFalse
Nutrient SubClassOf EvergreenVegetation, \nTrue
Nutrient SubClassOf Animal and Diatom and EvergreenVegetation and Fern and MarinePlant and Microalgae and Plankton and Sponge and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf TreeRing, \nTrue
Nutrient SubClassOf Animal and Diatom and Fern and MarinePlant and Microalgae and Plankton and Sponge and TreeRing and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Vegetation, \nTrue
Nutrient SubClassOf Animal and Diatom and Fern and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nTrue
Nutrient SubClassOf ExoticSpecies, False
Nutrient SubClassOf Litter, \nTrue
Nutrient SubClassOf Animal and Diatom and Fern and Litter and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Crown, \nTrue
Nutrient SubClassOf Animal and Crown and Diatom and Fern and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Jellyfish, \nFalse
Nutrient SubClassOf Invertebrate, \nFalse
Nutrient SubClassOf Anemone, \nFalse
Nutrient SubClassOf Ciliate, \nTrue
Nutrient SubClassOf Animal and Ciliate and Diatom and Fern and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Zooplankton, \nFalse
Nutrient SubClassOf FloweringPlant, \nTrue
Nutrient SubClassOf Animal and Diatom and Fern and FloweringPlant and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Sporozoan, \nFalse
Nutrient SubClassOf IndigenousVegetation, \nTrue
Nutrient SubClassOf Animal and Diatom and Fern and IndigenousVegetation and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf IndigenousSpecies, \nFalse
Nutrient SubClassOf MarineInvertebrate, \nTrue
Nutrient SubClassOf Animal and Diatom and Fern and MarineInvertebrate and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Conifer, \nTrue
Nutrient SubClassOf Animal and Conifer and Diatom and Fern and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Yeast, False
Nutrient SubClassOf Mammal, \nTrue
Nutrient SubClassOf Animal and Diatom and Fern and Mammal and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Protist, \nFalse
Nutrient SubClassOf Centipede, False
Nutrient SubClassOf Crop, \nTrue
Nutrient SubClassOf Animal and Crop and Diatom and Fern and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Algae, \nTrue
Nutrient SubClassOf Algae and Animal and Diatom and Fern and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Arthropod, \nFalse
Nutrient SubClassOf MarineBird, \nTrue
Nutrient SubClassOf Animal and Diatom and Fern and MarineBird and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Chlorophyll, \nFalse
Nutrient SubClassOf Mollusk, \nTrue
Nutrient SubClassOf Animal and Diatom and Fern and MarinePlant and Microalgae and Mollusk and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Echinoderm, \nFalse
Nutrient SubClassOf Plant, False
Nutrient SubClassOf Amoebae, \nTrue
Nutrient SubClassOf Amoebae and Animal and Diatom and Fern and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Insect, \nFalse
Nutrient SubClassOf Mold, False
Nutrient SubClassOf Bacteria, \nFalse
Nutrient SubClassOf DeciduousVegetation, \nTrue
Nutrient SubClassOf Animal and DeciduousVegetation and Diatom and Fern and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Phytoplankton, \nTrue
Nutrient SubClassOf Animal and Diatom and Fern and MarinePlant and Microalgae and Phytoplankton and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Animal and Diatom and Fern and FungiTaxonomy and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Animal and Diatom and Fern and MarinePlant and Microalgae and Moss and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Animal and Diatom and Fern and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies and Vertebrate, \nHere
Nutrient SubClassOf Animal and Diatom and Fern and Human and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
Nutrient SubClassOf Animal and Diatom and Fern and Flagellate and MarinePlant and Microalgae and Plankton and Sponge and Vegetation and VegetationCover and VegetationSpecies, \nHere
