Neuron and StructuralCell SubClassOf Erythrocyte, True
Cell SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Cell SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
Cell SubClassOf AnimalCell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
CellByOrganism and ChondroCyte SubClassOf AnimalCell, \nTrue
CellByOrganism and ChondroCyte SubClassOf SclerenchymaCell, \nTrue
CellByOrganism SubClassOf SclerenchymaCell, \nTrue
CellByOrganism SubClassOf LeafCell, True
CellByOrganism SubClassOf LeafCell and SclerenchymaCell, True
CellByOrganism SubClassOf Erythrocyte, True
CellByOrganism SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
CellByOrganism SubClassOf PhotosyntheticCell, True
CellByOrganism SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf CirculatingCell, True
CellByOrganism SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf PlantCell, True
CellByOrganism SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
CellByOrganism SubClassOf CellByClass, True
CellByOrganism SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf MatureCell, True
CellByOrganism SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf AnimalCell, True
CellByOrganism SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf Cell, True
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf Miocyte, True
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf InMatureCell, True
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf Osteocyte, True
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf ChondroBlast, True
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
CellByOrganism SubClassOf MioBlast, True
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
CellByOrganism SubClassOf CellByDevelopmentStage, True
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
CellByOrganism SubClassOf PhotoreceptorCell, True
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
CellByOrganism SubClassOf ElectricallyActiveCell, True
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nHere
CellByOrganism SubClassOf StructuralCell, True
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByOrganism SubClassOf Neuron, True
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
CellByOrganism SubClassOf ChondroCyte, True
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Neuron and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nHere
CellByOrganism SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and ChondroCyte and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and SclerenchymaCell and StructuralCell, \nTrue
Osteocyte and SclerenchymaCell SubClassOf AnimalCell, True
Osteocyte and SclerenchymaCell SubClassOf LeafCell, True
SclerenchymaCell SubClassOf LeafCell, True
SclerenchymaCell SubClassOf Erythrocyte, True
SclerenchymaCell SubClassOf Erythrocyte and LeafCell, True
SclerenchymaCell SubClassOf PhotosyntheticCell, True
SclerenchymaCell SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell, True
SclerenchymaCell SubClassOf CirculatingCell, True
SclerenchymaCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell, True
SclerenchymaCell SubClassOf PlantCell, True
SclerenchymaCell SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell, True
SclerenchymaCell SubClassOf CellByClass, True
SclerenchymaCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell, True
SclerenchymaCell SubClassOf MatureCell, True
SclerenchymaCell SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell, True
SclerenchymaCell SubClassOf AnimalCell, True
SclerenchymaCell SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf Cell, True
SclerenchymaCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf Miocyte, True
SclerenchymaCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell, True
SclerenchymaCell SubClassOf InMatureCell, True
SclerenchymaCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf Osteocyte, True
SclerenchymaCell SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf ChondroBlast, \nTrue
SclerenchymaCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf MioBlast, True
SclerenchymaCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf CellByDevelopmentStage, True
SclerenchymaCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotosyntheticCell and PlantCell, \nHere
SclerenchymaCell SubClassOf PhotoreceptorCell, True
SclerenchymaCell SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf CellByOrganism, True
SclerenchymaCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf ElectricallyActiveCell, \nTrue
SclerenchymaCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell, \nTrue
SclerenchymaCell SubClassOf StructuralCell, True
SclerenchymaCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and StructuralCell, \nTrue
SclerenchymaCell SubClassOf Neuron, False
SclerenchymaCell SubClassOf ChondroCyte, True
SclerenchymaCell SubClassOf AnimalCell and Cell and CellByClass and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and StructuralCell, \nTrue
SclerenchymaCell SubClassOf AnimalCell and Cell and CellByClass and CellByDevelopmentStage and CellByOrganism and ChondroBlast and ChondroCyte and CirculatingCell and ElectricallyActiveCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Miocyte and Osteocyte and PhotoreceptorCell and PhotosyntheticCell and PlantCell and StructuralCell, \nHere
CellByDevelopmentStage and Miocyte SubClassOf SclerenchymaCell, \nTrue
Miocyte SubClassOf SclerenchymaCell, \nTrue
Miocyte SubClassOf LeafCell, True
Miocyte SubClassOf LeafCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf Erythrocyte, True
Miocyte SubClassOf Erythrocyte and LeafCell and SclerenchymaCell, True
Miocyte SubClassOf PhotosyntheticCell, True
Miocyte SubClassOf Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf CirculatingCell, True
Miocyte SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf PlantCell, True
Miocyte SubClassOf CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
Miocyte SubClassOf CellByClass, True
Miocyte SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf MatureCell, True
Miocyte SubClassOf CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, True
Miocyte SubClassOf AnimalCell, True
Miocyte SubClassOf AnimalCell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf Cell, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf InMatureCell, \nTrue
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf Osteocyte, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf ChondroBlast, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
Miocyte SubClassOf MioBlast, True
Miocyte SubClassOf AnimalCell and Cell and CellByClass and ChondroBlast and CirculatingCell and Erythrocyte and InMatureCell and LeafCell and MatureCell and MioBlast and Osteocyte and PhotosyntheticCell and PlantCell and SclerenchymaCell, \nTrue
